image,gray_cpu,gray_gpu,blur_cpu,blur_gpu,both_cpu,both_gpu
img_15.jpg,0.377244,0.01568,6.74967,0.012256,6.85605,0.018784
img_2.jpg,0.365334,0.01488,6.47412,0.01024,6.82577,0.018144
img_88.jpg,0.422099,0.013984,6.70729,0.010208,6.80745,0.016192
img_35.jpg,0.375236,0.014432,6.53143,0.010208,6.83891,0.020288
img_44.jpg,0.380858,0.014432,6.76345,0.01024,6.80795,0.015104
img_37.jpg,0.374382,0.013888,6.52385,0.011392,6.96775,0.020992
img_56.jpg,0.53603,0.015584,6.71812,0.010592,6.83869,0.01952
img_99.jpg,0.438323,0.015552,6.62698,0.0104,7.27248,0.022112
img_28.jpg,0.424093,0.014624,6.78069,0.010208,7.1154,0.020448
img_42.jpg,0.455043,0.015264,6.74363,0.010208,7.02669,0.016352
img_3.jpg,0.42435,0.026048,6.64595,0.010208,6.97531,0.020448
img_62.jpg,0.461635,0.016704,9.82191,0.012288,6.98862,0.020384
img_23.jpg,0.373727,0.013664,6.55315,0.010496,7.18455,0.0208
img_17.jpg,0.417429,0.015264,7.11609,0.011264,7.22017,0.02048
img_98.jpg,0.447098,0.018176,6.7265,0.01024,7.02662,0.017088
img_30.jpg,0.373628,0.013632,6.95285,0.010464,7.0458,0.017536
img_27.jpg,0.36748,0.0144,6.7555,0.010368,7.14266,0.017984
img_48.jpg,0.421215,0.014016,6.67749,0.010208,7.11932,0.016352
img_36.jpg,0.375379,0.013184,6.95065,0.010432,7.01467,0.022464
img_83.jpg,0.454042,0.014048,6.54967,0.010208,6.95591,0.017824
img_55.jpg,0.420143,0.01424,6.48473,0.010208,6.89202,0.016864
img_47.jpg,0.421822,0.014656,6.51645,0.010208,7.13428,0.020704
img_92.jpg,0.372406,0.014752,6.6807,0.010208,6.96756,0.02
img_51.jpg,0.417813,0.014368,6.47594,0.01024,6.97511,0.020192
img_66.jpg,0.36683,0.014304,6.71024,0.01024,6.91242,0.020096
img_74.jpg,0.488074,0.015616,6.56867,0.010208,7.05452,0.020064
img_32.jpg,0.416669,0.014208,6.50366,0.010208,6.80137,0.016608
img_75.jpg,0.374659,0.013856,6.6294,0.0104,6.80228,0.016352
img_73.jpg,0.384666,0.015328,6.48182,0.010208,6.80245,0.016384
img_24.jpg,0.367671,0.013248,7.76264,0.01744,7.03631,0.020224
img_78.jpg,0.415046,0.01488,6.48525,0.010208,6.89982,0.018432
img_52.jpg,0.664072,0.018016,10.1351,0.016352,10.745,0.026528
img_100.jpg,0.414159,0.016128,6.65439,0.0104,6.85095,0.019744
img_11.jpg,0.373812,0.050272,6.47312,0.010336,6.80301,0.016128
img_5.jpg,0.366791,0.013984,6.60658,0.011328,8.10332,0.03056
img_16.jpg,0.514486,0.018624,7.47962,0.01344,7.04731,0.020416
img_94.jpg,0.366886,0.014688,6.84737,0.01024,6.80704,0.015136
img_67.jpg,0.373527,0.0144,6.48065,0.010336,6.88405,0.020704
img_19.jpg,0.374017,0.013504,6.52992,0.010336,6.92368,0.020448
img_58.jpg,0.373386,0.014144,6.54231,0.010464,6.8159,0.01728
img_86.jpg,0.371874,0.013952,6.73406,0.01024,6.86043,0.019776
img_87.jpg,0.42079,0.01456,6.54714,0.010624,6.88297,0.018592
img_72.jpg,0.375201,0.0144,6.50259,0.01088,6.80989,0.017152
img_81.jpg,0.423867,0.014496,6.52954,0.010208,6.82605,0.018496
img_82.jpg,0.417624,0.014656,6.5301,0.010272,6.84641,0.019264
img_61.jpg,0.416695,0.014016,6.75489,0.010336,6.91237,0.019296
img_13.jpg,0.3673,0.01344,7.28802,0.012576,8.26781,0.023808
img_80.jpg,0.404677,0.016,7.39128,0.011968,8.25782,0.021248
img_85.jpg,0.430672,0.015808,7.93494,0.010656,6.90111,0.0192
img_77.jpg,0.420859,0.014752,6.4999,0.010208,6.90271,0.018528
img_25.jpg,0.367352,0.013216,6.47122,0.010208,6.90279,0.018272
img_31.jpg,0.373293,0.014176,6.54149,0.01024,6.80241,0.01648
img_9.jpg,0.417644,0.014176,6.48026,0.012256,6.84507,0.018752
img_79.jpg,0.376976,0.013504,6.46949,0.010208,6.84534,0.019584
img_26.jpg,0.366934,0.013696,6.4683,0.010208,7.07487,0.0184
img_64.jpg,0.374828,0.013888,6.49087,0.010208,6.80886,0.016352
img_89.jpg,0.367404,0.01408,6.70454,0.010208,6.82772,0.018432
img_53.jpg,0.367014,0.014272,6.47576,0.01024,6.79521,0.016384
img_60.jpg,0.37488,0.013952,6.71771,0.010208,6.82546,0.017984
img_96.jpg,0.420651,0.014176,6.81792,0.010336,6.87995,0.020832
img_14.jpg,0.381874,0.014912,6.5986,0.010592,7.31104,0.018464
img_21.jpg,0.364741,0.014208,6.60577,0.010432,7.02377,0.016448
img_7.jpg,0.497126,0.014784,6.89646,0.01024,7.27009,0.019296
img_54.jpg,0.445532,0.014368,6.78218,0.0104,7.10358,0.016384
img_40.jpg,0.396853,0.014304,7.17537,0.01024,6.97159,0.019072
img_91.jpg,0.444754,0.014688,6.46857,0.01056,7.13545,0.02064
img_18.jpg,0.398085,0.013472,6.82589,0.010208,6.89358,0.019808
img_95.jpg,0.496497,0.014592,6.56185,0.011456,6.88378,0.018144
img_45.jpg,0.400067,0.014656,7.06646,0.010272,7.2663,0.017056
img_12.jpg,0.391463,0.012864,6.94829,0.010208,7.25681,0.016384
img_22.jpg,0.404153,0.01408,6.9752,0.01616,7.26002,0.017568
img_1.jpg,0.458897,0.014944,6.56098,0.010208,7.17324,0.015264
img_29.jpg,0.373056,0.014336,6.71161,0.010208,7.25976,0.018464
img_68.jpg,0.419034,0.014784,6.86786,0.010272,6.88114,0.016928
img_84.jpg,0.399677,0.013984,6.67446,0.010208,7.10723,0.018432
img_8.jpg,0.456247,0.015232,6.63891,0.010368,6.90755,0.019808
img_38.jpg,0.418913,0.014432,6.66024,0.011328,6.8826,0.020384
img_34.jpg,0.400436,0.01408,6.69556,0.01024,6.8231,0.018432
img_57.jpg,0.417489,0.014336,6.71203,0.0184,6.84481,0.020032
img_41.jpg,0.418116,0.014368,6.99539,0.012096,6.86935,0.02192
Fronalpstock_big.jpg,294.898,1.52394,5419.33,3.03475,4922.72,4.55741
img_50.jpg,0.381882,0.021184,6.55396,0.01696,6.86572,0.028032
img_46.jpg,0.450743,0.01712,6.56025,0.010368,6.87978,0.0192
img_43.jpg,0.373889,0.01456,6.497,0.010368,7.02105,0.022528
img_49.jpg,0.377757,0.014048,6.46964,0.010464,6.81534,0.018432
img_93.jpg,0.417432,0.014176,6.47784,0.010528,6.81722,0.017472
img_33.jpg,0.441413,0.015392,6.48771,0.011456,7.11493,0.020384
img_70.jpg,0.373825,0.014048,6.51224,0.01024,6.84302,0.018368
img_20.jpg,0.372327,0.014432,6.48548,0.010208,6.83408,0.0184
img_65.jpg,0.418068,0.014496,6.55624,0.010272,7.70655,0.022496
img_69.jpg,0.411329,0.01424,6.55001,0.01024,6.80236,0.016896
img_76.jpg,0.417865,0.014784,6.70779,0.010528,7.08645,0.020448
img_71.jpg,0.417551,0.014624,6.52232,0.010208,6.95248,0.02048
img_97.jpg,0.367799,0.065024,7.78612,0.010592,8.05887,0.022368
img_10.jpg,0.413428,0.014304,6.50264,0.010272,7.28811,0.018688
img_4.jpg,0.398967,0.01376,6.92589,0.012288,6.93497,0.018432
img_6.jpg,0.462101,0.01552,6.709,0.010496,7.19594,0.020864
